Street Nam,Number of,pm_tot,site_id,_Date,season,geometry,stv_mi,stv_ann,class_type,speed_type,swlk_cov,crossing_class,crossing_island,bus_stops,isect_dens,hh,zch,pop_dens,med_inc,job_dens,dist_CBD,Commercial Area,Retail Area,Park Area,swlk_len,sig_int,sig_dens,tstop_dens,walk_comm,holdout,stv_mi_em,swlk_len_em,bus_stops_em,sig_int_em,sig_dens_em,isect_dens_em,hh_em,zch_em,med_inc_em,pop_dens_em,walk_comm_em,job_dens_em,Commercial Area_em,Retail Area_em,Park Area_em,transit_stops_em,stv_mi_qm,swlk_len_qm,bus_stops_qm,sig_int_qm,sig_dens_qm,isect_dens_qm,hh_qm,zch_qm,med_inc_qm,pop_dens_qm,walk_comm_qm,job_dens_qm,Commercial Area_qm,Retail Area_qm,Park Area_qm,transit_stops_qm,stv_mi_hm,swlk_len_hm,bus_stops_hm,sig_int_hm,sig_dens_hm,isect_dens_hm,hh_hm,zch_hm,med_inc_hm,pop_dens_hm,walk_comm_hm,job_dens_hm,Commercial Area_hm,Retail Area_hm,Park Area_hm,transit_stops_hm
SW ST CLAIR AVE - W BURNSIDE ST,3,115,1,01-04-2022,winter,POINT (7639139.9680387955 684550.6030384026),201.54384179409615,10641.514846728278,pri-res,20 mph-25 mph,1,unmarked,0,1,887.3949616747566,31.441731653678232,13.849581200491205,44348.33100859229,67789.65375700688,10970.878557172546,5804.765094776395,16787.345810386178,0,0,0.05662297990651642,0,0,887.3970330986189,1.4955073814258946,0,2505.9402584884506,1.3855262984830576,5,2,40.74366543152521,407.4366543152521,1207.71795286898,522.1933996832342,60511.66558667544,37326.28547551882,86.40593020343476,11512.212696092192,154582.991904344,120984.01503423831,2378.0832070182887,5,12893.320445505882,5.078601578388511,27,11,56.02253996834716,351.4141143469049,3239.8296742644243,1291.6647457585943,53265.37957325468,24185.56234877911,334.300347195071,10296.067653639022,159563.52091742828,381242.53760194266,2378.0832070182887,27,41936.385368504096,18.07635482248357,66,52,66.20845632622846,296.6648139232929,8202.513930291803,3073.8899395053686,59078.76645809923,15425.942398461684,1342.8762522487364,10198.10254403686,364397.29985223536,486821.50070301787,134708.09968220658,68
NE 26TH AVE - E BURNSIDE ST,4,114,2,02-01-2022,winter,POINT (7653870.617806076 683980.2296770186),82.24890967898045,4342.742431050167,res-sec,20 mph-20 mph,1,unmarked,0,0,887.3949616747566,10.412468511952545,1.592575777695804,15651.325794474558,60699.62968708884,6443.402800492854,8896.066940733825,0,0,0,0.07571792681589191,0,0,0,0.9166575039540642,0,2644.2551845418025,1.3962504032727914,4,1,20.371832715762604,244.46199258915124,444.0696349798987,66.50045763011224,61391.51659353024,15432.362459638754,41.38698397052696,6451.615478233286,0,6737.9105583208475,98648.460599582555,4,9300.32102283816,5.890690300835304,4,1,5.092958178940651,264.83382530491383,1641.445471198767,232.83114591986063,63913.56358653166,14575.11198504474,185.30658842544472,6233.009589161263,0,75659.7929185998,113882.67598178385,4,36616.63083392978,22.36883112681543,34,16,20.371832715762604,332.31552117587745,5166.968519300656,814.2441318317167,68463.41663632725,11749.505191894385,635.2888992352505,6371.509710430195,72590.07067981137,216214.80405942185,415030.9768808052,34
SE 100TH AVE - SE STARK ST,4,21,3,02-15-2022,winter,POINT (7674070.400260484 682063.8819535148),3.3116823759321923,174.85682944921976,pri-res,20 mph-30 mph,0.75,unmarked,0,0,887.3949616747566,1.6816113048014665,0.7283232908755515,2884.690517857545,52134,9173.490029201692,29092.157201190472,2818.050254706472,9195.555805332102,0,0.056887008467297,0,0,0,0.08986926240784053,0,67.84084954510563,0.8729219480697628,2,4,81.48733086305042,203.71832715762605,107.3065259289727,42.43298877402016,49737.737016231506,4116.774698304759,3.680683688009352,9227.248609516822,251757.51567082776,548655.9127238243,0,2,244.01740542518735,2.9039443179719764,9,10,50.92958178940651,157.8817035471602,725.9667741769115,263.006788988742,47628.25891227645,6801.121016181365,12.68537017853678,9346.640455591623,652548.3504165222,2062944.4342624824,0,9,2424.983554959369,9.033706135345357,35,30,38.19718634205488,120.95775674984046,2649.4339955226533,672.6760614581817,53381.94142626775,7378.583380781031,59.68485678756679,6790.568312940749,1240704.154049149,2918305.6128442753,21678.50015231469,35
SE 100TH AVE - SE WASHINGTON ST,4,40,4,02-15-2022,winter,POINT (7674061.735055709 681805.438962383),3.978832112121358,210.0823355200077,pri-res,20 mph-30 mph,0.75,unmarked,0,0,887.3949616747566,1.6816113048014665,0.7283232908755515,2884.690517857545,52134,9173.490029201692,29095.30935265025,3065.828976476723,13817.094824693118,0,0.05652526401668437,0,0,0,0.08986926240784053,0,61.772527375948535,0.811595384691997,2,4,81.48733086305042,162.97466172610083,106.6886034574652,42.23871095084435,49767.58920562025,4094.419204981848,3.6849299011570698,9224.85360839326,178205.55690076316,806583.7187243948,0,2,226.07563834993792,2.5732522558467075,9,10,50.92958178940651,142.60282901033824,692.639524673827,252.5504127161045,47777.58001778815,6499.24873223339,12.912621699136892,9332.774372248912,616778.216851362,2452599.4711335143,0,9,2885.052250855054,9.279332753700984,34,30,38.19718634205488,122.23099629457562,2577.958876424947,680.4176859139462,54172.97180893308,7142.733407074713,56.80872704678949,6865.325945055157,1240704.154049149,2918305.6128442753,44642.71533518609,34
SE 105TH AVE - SE STARK ST,4,41,5,02-16-2022,winter,POINT (7675271.304699868 682027.3226101433),8.042526164424318,424.645381481604,pri-ter,20 mph-30 mph,1,unmarked,0,1,887.3949616747566,11.527455120335102,3.823904358099555,18401.05841989756,45685,9868.979741027018,30293.549916980744,2503.3372718509345,8391.119029163689,0,0.07566192621167242,0,0,887.3970330986189,0.02221101499382685,0,118.56806391075202,1.018567000164513,4,4,81.48733086305042,183.34649444186343,457.9749681297288,147.95533774202949,46797.289265010026,17232.756533153144,0.9675118131329524,9134.00857104334,179958.07508406258,461933.0041654484,18458.593153579703,4,470.95694256715853,2.7640227468533296,10,6,30.557749073643905,147.6957871892789,1212.4700365749393,368.4228688645647,50223.69425076194,12278.73921525049,6.2994606947299125,7613.313759422858,324837.7628681765,1224871.7450686826,21678.50015231469,10,2470.8080677375187,8.527103557959727,33,23,29.284509528908742,152.78874536821954,2576.465252975879,626.1246433836322,53786.18928159803,7370.720890006892,50.472915051931466,6237.1181757226295,1092399.656668395,2901361.148202403,223009.7287962059,33
SE 105TH AVE - SE WASHINGTON ST,4,38,6,02-16-2022,winter,POINT (7675258.366398688 681772.0532715073),3.8795987516734938,204.84281408836048,pri-ter,20 mph-30 mph,0.77,unmarked,0,1,887.3949616747566,11.527455120335102,3.823904358099555,18401.05841989756,45685,9868.979741027018,30292.12904987151,0,15893.119993512451,0,0.05818435050812358,0,0,887.3970330986189,0.02221101499382685,0,126.14687430539244,0.9414041209046932,3,4,81.48733086305042,142.60282901033824,459.595488464963,148.63839015782025,46752.69498945588,17275.629827721947,0.9675118131329506,9144.1755107558,196794.35360209164,599920.5904268094,16918.56469815505,3,633.5698165890495,2.618676255986937,11,7,35.65070725258456,137.50987083139756,1130.920707255873,342.7578140737179,50639.38337410134,11543.364921214394,6.847282201592739,7568.060211668972,325062.5391874985,1305968.1030872092,21678.50015231469,11,3006.0758936354982,8.783345152586957,33,21,26.73803043943842,152.78874536821954,2508.5004329481953,630.9433488333098,54916.61531861777,7183.134597044566,48.10794591210167,6377.897141181558,1085722.8205085476,2905723.8155032555,210740.70320293383,33
NE MARTIN LUTHER KING JR BLVD - NE FAILING ST,4,116,7,03-15-2022,spring,POINT (7648432.473568734 694316.991559201),50.96101960054432,2690.7418349087397,pri-res,20 mph-30 mph,0.99,marked,0,2,1774.7899233495132,7.528476368559346,1.6328461520023554,15295.379746194025,74424.35788888606,4000.89363318214,11501.904897463472,0,2176.967941367865,0,0.0753572479811471,0,0,1774.7940661972375,0.3827897049016733,0,911.1175582270428,1.6198452803295091,4,2,40.74366543152521,285.2056580206765,327.7407969240039,71.02110580476854,74521.81968171282,15292.807071439662,16.64857950435555,3989.107203851092,13855.862435968074,52778.42135249056,0,4,6142.321051890008,6.156131104084949,14,5,25.464790894703256,264.83382530491383,1293.378215666954,269.07141322306757,78033.01453909883,15149.430655982556,65.07885465323174,3790.812710243764,40883.02628361962,124531.97553883244,18933.982430918633,14,30110.347218536604,23.377375255885173,36,17,21.645072260497766,273.74650211806,4600.53168282621,765.1914966284929,104565.48760241004,13318.91968976175,220.30588324127396,4695.248184652688,94083.55571988708,213497.44877860253,1013807.2298275726,36
NE MARTIN LUTHER KING JR BLVD - NE EMERSON ST,4,68,8,03-16-2022,spring,POINT (7648567.257457024 698257.5458533814),41.61870605439668,2197.4676796721446,pri-res,20 mph-30 mph,0.89,marked,0,0,1774.7899233495132,4.9319147164437345,0.5135112812013829,10899.073755281954,110986.33314131074,4103.73620644939,15333.942317528956,0,4704.797323119675,0,0.06766015041136048,0,0,0,0.14691648372162935,0,921.887074652731,1.571736378080943,4,2,40.74366543152521,366.69298888372685,206.2381959005653,19.516754109043173,110929.99603154475,10500.42418420597,5.830121418540089,3875.971291521926,119798.72501317156,242608.8509933495,7615.660415972349,4,4155.690342764553,6.0965314872894965,10,5,25.464790894703256,295.3915743785578,767.4683506722268,67.78315088098209,109806.8608109029,9622.564055301986,20.494180812729045,3913.8984206140262,381215.2730501232,298705.71166464215,7653.827513151999,10,25248.637120404168,24.303597248451094,37,15,19.09859317102744,322.12960481799615,3167.1425115100787,377.414181360591,112484.26069460405,9526.871455782475,77.51346438017325,3502.091863185182,454309.8272978637,451580.71743078285,215514.7083357962,37
NE MARTIN LUTHER KING JR BLVD - NE BRYANT ST,4,42,9,03-17-2022,spring,POINT (7648704.155224582 702499.9371694238),31.38477869509093,1657.116315100801,pri-res,20 mph-30 mph,0.99,marked,0,1,1774.7899233495132,4.233268966482911,0.22788616722876057,8037.523385461752,114823.53921192756,1656.071178517611,19506.943801498517,0,0,0,0.07514528305449619,0,0,887.3970330986189,0.10977489993079872,0,781.7324001407721,1.5403953726907278,7,2,40.74366543152521,285.2056580206765,182.7469901215709,14.406231851969933,108417.32883932527,7919.995345918675,4.782982818911512,1770.3456030684065,0,0,0,7,3115.742581248551,6.1737999044158585,13,3,15.278874536821952,325.94932345220167,745.5247203143357,91.55748275518972,97118.71132412186,7912.023569062917,18.971004376763467,1875.6278120405884,92060.66105241507,0,0,13,14931.431661581526,20.811138432283,30,8,10.185916357881302,268.65354393911934,2884.697314149298,398.165687519198,95223.801137213115,7696.072566317595,67.89403531573734,1935.8110258318077,119571.67969656346,55180.689066686646,378349.3024032134,30
SW TERWILLIGER BLVD - SW CAPITOL HWY,4,62,10,03-29-2022,spring,POINT (7641222.60948616 668761.0244433047),373.17642682140365,19703.715336170113,pri-sec,25 mph-30 mph,0.12,signalized,0,3,887.3949616747566,1.754519445899536,0.0830586076597679,3469.4874455014487,123383.25394967193,726.3791770469793,14863.734676288344,0,0,4865.541286406335,0.00921800121522763,1,887.3970330986189,2662.191099295857,0.17292097216094449,1,3643.64055477944,0.02510595837040003,5,1,20.371832715762604,101.85916357881302,67.87131707553091,3.79174024628218,132550.35726874322,3107.480330139404,7.679450139052101,679.8559740975589,0,0,241533.2040868727,5,10841.170403280928,0.02510595837040003,9,1,5.092958178940651,101.85916357881302,270.8839243536216,15.213631986561367,131566.15396830405,3092.201221131148,30.984647772940527,686.2942909204046,0,0,712778.8233461458,9,29128.701339081577,2.2860711541971157,30,3,3.819718634205488,129.8704335629866,1422.2044747339608,102.52555052182932,113970.51879692895,3943.3867753913823,153.04812886318166,1361.0013633424244,48544.92286447203,51489.02148766455,1596037.3077094106,30
